,202,"Samoa",1.1,0
,203,"Comoros",1,0
,203,"Nauru",1,0
,203,"Vanuatu",1,0
,206,"Dominica",0.9,0
,206,"Sao Tome and Principe",0.9,0
,208,"Virgin Islands, British",0.8,0
,209,"Montserrat",0.6,0
,209,"Saint Pierre and Miquelon",0.6,0
,211,"Cook Islands",0.5,0
,212,"Kiribati",0.4,0
,213,"Falkland Islands (Islas Malvinas)",0.3,0
,--,"Antarctica",(s),0
,--,"Niue",(s),0
,--,"Saint Helena",(s),0 
